,AH,AH_Home,AH_Away,OU,Over,Under,Home_name,Away_name,Date,URL
54,Asian handicap -3.5 ,1.99,1.98,Over/Under +163.5 ,2.0,2.12,Baskonia,Khimki M.,"Thursday, 10 Mar  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/saski-baskonia-khimki-m-xINsxKee/
55,Asian handicap +3.5 ,1.93,2.05,Over/Under +147.5 ,2.1,1.91,Bamberg,Olympiakos,"Thursday, 10 Mar  2016, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/brose-bamberg-olympiakos-piraeus-G2ZYwtRr/
56,Asian handicap +1.5 ,2.06,1.91,Over/Under +152 ,2.05,1.92,Cedevita,Unicaja,"Thursday, 10 Mar  2016, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/cedevita-unicaja-lhkfoOY8/
57,Asian handicap -3.5 ,1.96,1.99,Over/Under +149.5 ,1.96,2.03,Lokomotiv Kuban,Fenerbahce,"Thursday, 10 Mar  2016, 19:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/lokomotiv-kuban-fenerbahce-vsr7rMIR/
58,Asian handicap -7.5 ,2.02,2.0,Over/Under +151.5 ,1.98,1.97,Olympiakos,Baskonia,"Friday, 04 Mar  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/olympiakos-piraeus-saski-baskonia-db28NKt2/
59,Asian handicap -10.5 ,2.05,1.92,Over/Under +154.5 ,1.99,2.0,Fenerbahce,Crvena zvezda mts,"Friday, 04 Mar  2016, 20:30",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/fenerbahce-crvena-zvezda-mts-O8AeQMdq/
60,Asian handicap +1.5 ,1.98,2.07,Over/Under +153.5 ,2.0,1.95,Zalgiris Kaunas,Bamberg,"Friday, 04 Mar  2016, 19:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/zalgiris-kaunas-brose-bamberg-A1jjn4J2/
61,Asian handicap -2.5 ,2.0,1.94,Over/Under +155.5 ,2.05,1.95,Anadolu Efes,Lokomotiv Kuban,"Thursday, 03 Mar  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/anadolu-efes-lokomotiv-kuban-hQJPVrZL/
62,Asian handicap +3.5 ,1.9,2.1,Over/Under +145.5 ,2.01,1.92,Unicaja,Panathinaikos,"Thursday, 03 Mar  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/unicaja-panathinaikos-WGITU2lS/
63,Asian handicap +1.5 ,1.95,2.06,Over/Under +150.5 ,2.03,1.96,Cedevita,Darussafaka,"Thursday, 03 Mar  2016, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/cedevita-darussafaka-A1UKWOJF/
64,Asian handicap -1.5 ,1.98,2.03,Over/Under +164.5 ,2.1,1.9,Khimki M.,Barcelona,"Thursday, 03 Mar  2016, 19:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/khimki-m-barcelona-2a9aPtCk/
65,Asian handicap +1.5 ,2.05,2.0,Over/Under +176.5 ,2.06,2.0,Real Madrid,CSKA Moscow,"Wednesday, 02 Mar  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/real-madrid-cska-moscow-pOb4O0Re/
66,Asian handicap -4.5 ,2.0,2.0,Over/Under +147.5 ,2.1,1.91,Barcelona,Olympiakos,"Friday, 26 Feb  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/barcelona-olympiakos-piraeus-OpS8ZQZd/
67,Asian handicap -2.5 ,2.0,2.0,Over/Under +156.5 ,2.04,1.95,Crvena zvezda mts,Anadolu Efes,"Friday, 26 Feb  2016, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/crvena-zvezda-mts-anadolu-efes-juOPC3Sq/
68,Asian handicap -13.5 ,2.0,2.08,Over/Under +159.5 ,2.02,1.96,Baskonia,Zalgiris Kaunas,"Thursday, 25 Feb  2016, 21:30",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/saski-baskonia-zalgiris-kaunas-2yRCYpk3/
69,Asian handicap -3.5 ,1.95,1.98,Over/Under +151.5 ,2.02,1.93,Panathinaikos,Fenerbahce,"Thursday, 25 Feb  2016, 21:15",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/panathinaikos-fenerbahce-v3edUVcH/
70,Asian handicap +4.5 ,1.92,2.04,Over/Under +162.5 ,1.93,2.0,Bamberg,Real Madrid,"Thursday, 25 Feb  2016, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/brose-bamberg-real-madrid-OhMXAscd/
71,Asian handicap -14.5 ,2.02,2.03,Over/Under +153.5 ,2.04,1.93,Lokomotiv Kuban,Cedevita,"Thursday, 25 Feb  2016, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/lokomotiv-kuban-cedevita-p2NTBNsj/
72,Asian handicap -2.5 ,1.99,1.94,Over/Under +145.5 ,1.94,1.98,Darussafaka,Unicaja,"Thursday, 25 Feb  2016, 19:30",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/darussafaka-unicaja-dv6iVBrB/
73,Asian handicap -10.5 ,2.05,1.95,Over/Under +174.5 ,2.12,1.91,CSKA Moscow,Khimki M.,"Thursday, 25 Feb  2016, 18:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/cska-moscow-khimki-m-dbQGX449/
74,Asian handicap -15.5 ,1.93,2.05,Over/Under +155.5 ,2.06,1.95,Barcelona,Zalgiris Kaunas,"Friday, 12 Feb  2016, 22:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/barcelona-zalgiris-kaunas-SbEzZgqn/
75,Asian handicap -3.5 ,1.92,2.03,Over/Under +152 ,1.99,1.99,Panathinaikos,Anadolu Efes,"Friday, 12 Feb  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/panathinaikos-anadolu-efes-dQQIGCTH/
76,Asian handicap -10.5 ,1.99,1.94,Over/Under +158.5 ,2.06,1.92,CSKA Moscow,Olympiakos,"Friday, 12 Feb  2016, 19:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/cska-moscow-olympiakos-piraeus-lE2qXXDb/
77,Asian handicap -9.5 ,2.09,1.91,Over/Under +145.5 ,2.06,1.93,Lokomotiv Kuban,Darussafaka,"Friday, 12 Feb  2016, 18:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/lokomotiv-kuban-darussafaka-hhKREjbU/
78,Asian handicap -5.5 ,2.06,1.92,Over/Under +155.5 ,1.91,2.06,Baskonia,Bamberg,"Thursday, 11 Feb  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/saski-baskonia-brose-bamberg-AN3uYDbh/
79,Asian handicap -9.5 ,2.02,2.03,Over/Under +154 ,1.97,1.95,Crvena zvezda mts,Cedevita,"Thursday, 11 Feb  2016, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/crvena-zvezda-mts-cedevita-E1LNFWrO/
80,Asian handicap -9.5 ,2.02,1.92,Over/Under +151.5 ,1.98,1.98,Fenerbahce,Unicaja,"Thursday, 11 Feb  2016, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/fenerbahce-unicaja-UDeXZZTu/
81,Asian handicap -4.5 ,2.05,2.02,Over/Under +168.5 ,2.0,1.97,Khimki M.,Real Madrid,"Thursday, 11 Feb  2016, 19:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/khimki-m-real-madrid-Im7mWiT4/
