,AH,AH_Home,AH_Away,OU,Over,Under,Home_name,Away_name,Date,URL
1275,Asian handicap -3.5 ,1.97,1.98,Over/Under +195.5 ,1.99,1.97,New York Knicks,Minnesota Timberwolves,"Monday, 04 Nov  2013, 02:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/new-york-knicks-minnesota-timberwolves-vB9dpriJ/
1276,Asian handicap -12.5 ,1.97,1.97,Over/Under +198 ,2.09,1.97,Oklahoma City Thunder,Phoenix Suns,"Monday, 04 Nov  2013, 02:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/oklahoma-city-thunder-phoenix-suns-Sz6hoOyD/
1277,Asian handicap -9.5 ,1.91,2.06,Over/Under +192 ,2.06,1.97,Detroit Pistons,Boston Celtics,"Monday, 04 Nov  2013, 01:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/detroit-pistons-boston-celtics-xnDulQif/
1278,Asian handicap -13 ,1.95,2.06,Over/Under +200 ,2.04,2.02,Miami Heat,Washington Wizards,"Monday, 04 Nov  2013, 01:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/miami-heat-washington-wizards-fN7pmp70/
1279,Asian handicap +5.5 ,1.92,2.05,Over/Under +195 ,1.98,2.0,Orlando Magic,Brooklyn Nets,"Monday, 04 Nov  2013, 01:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/orlando-magic-brooklyn-nets-YD6ln4M6/
1280,Asian handicap -11 ,2.0,1.98,Over/Under +207.5 ,2.08,1.93,Golden State Warriors,Sacramento Kings,"Sunday, 03 Nov  2013, 04:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/golden-state-warriors-sacramento-kings-beEyk6xl/
1281,Asian handicap +2.5 ,1.99,1.98,Over/Under +198.5 ,1.98,2.0,Portland Trail Blazers,San Antonio Spurs,"Sunday, 03 Nov  2013, 04:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/portland-trail-blazers-san-antonio-spurs-4YEXknNs/
1282,Asian handicap +6 ,2.04,2.02,Over/Under +199.5 ,1.98,1.98,Utah Jazz,Houston Rockets,"Sunday, 03 Nov  2013, 03:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/utah-jazz-houston-rockets-SCN5fSEQ/
1283,Asian handicap -3 ,2.01,1.97,Over/Under +194.5 ,1.95,2.02,Dallas Mavericks,Memphis Grizzlies,"Sunday, 03 Nov  2013, 02:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/dallas-mavericks-memphis-grizzlies-plY0e8aK/
1284,Asian handicap +1 ,1.96,2.0,Over/Under +190.5 ,1.97,1.99,Milwaukee Bucks,Toronto Raptors,"Sunday, 03 Nov  2013, 02:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/milwaukee-bucks-toronto-raptors-fVHE3FpB/
1285,Asian handicap -8.5 ,1.97,2.0,Over/Under +184.5 ,1.93,2.02,New Orleans Pelicans,Charlotte Hornets,"Sunday, 03 Nov  2013, 02:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/new-orleans-pelicans-charlotte-hornets-6cZddlpE/
1286,Asian handicap +9 ,2.0,1.98,Over/Under +194.5 ,1.98,1.98,Philadelphia 76ers,Chicago Bulls,"Sunday, 03 Nov  2013, 01:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/philadelphia-76ers-chicago-bulls-htWFX47D/
1287,Asian handicap -8 ,1.99,2.0,Over/Under +188 ,2.0,1.94,Indiana Pacers,Cleveland Cavaliers,"Sunday, 03 Nov  2013, 01:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/indiana-pacers-cleveland-cavaliers-EkXBYph7/
