,Time,Book_n,Coef,Type
201,2018-11-15 19:00:00,888sport,2.35,away
202,2018-11-15 16:44:00,888sport,2.28,away
203,2018-11-15 15:23:00,888sport,2.2,away
204,2018-11-15 13:56:00,888sport,2.14,away
205,2018-11-15 10:34:00,888sport,2.12,away
206,2018-11-15 10:29:00,888sport,2.08,away
207,2018-11-15 04:30:00,888sport,2.02,away
208,2018-11-16 02:35:00,Babibet,1.59,home
209,2018-11-16 02:23:00,Babibet,1.58,home
210,2018-11-16 02:11:00,Babibet,1.57,home
211,2018-11-16 02:03:00,Babibet,1.56,home
212,2018-11-16 01:38:00,Babibet,1.55,home
213,2018-11-16 01:26:00,Babibet,1.57,home
214,2018-11-16 01:23:00,Babibet,1.59,home
215,2018-11-16 01:04:00,Babibet,1.61,home
216,2018-11-16 00:54:00,Babibet,1.62,home
217,2018-11-15 23:58:00,Babibet,1.6,home
218,2018-11-15 23:55:00,Babibet,1.59,home
219,2018-11-15 23:48:00,Babibet,1.6,home
220,2018-11-15 23:35:00,Babibet,1.62,home
221,2018-11-15 22:50:00,Babibet,1.63,home
222,2018-11-15 21:53:00,Babibet,1.64,home
223,2018-11-15 21:14:00,Babibet,1.63,home
224,2018-11-15 20:06:00,Babibet,1.64,home
225,2018-11-15 19:49:00,Babibet,1.62,home
226,2018-11-15 19:37:00,Babibet,1.64,home
227,2018-11-15 19:06:00,Babibet,1.65,home
228,2018-11-15 02:16:00,Babibet,1.9,home
229,2018-11-16 02:57:00,Babibet,2.49,away
230,2018-11-16 02:35:00,Babibet,2.5,away
231,2018-11-16 02:23:00,Babibet,2.51,away
232,2018-11-16 02:11:00,Babibet,2.54,away
233,2018-11-16 02:03:00,Babibet,2.56,away
234,2018-11-16 01:41:00,Babibet,2.58,away
235,2018-11-16 01:38:00,Babibet,2.59,away
236,2018-11-16 01:26:00,Babibet,2.54,away
237,2018-11-16 01:23:00,Babibet,2.49,away
238,2018-11-16 01:04:00,Babibet,2.44,away
