,League,Season,Home_score,Away_score,Win,OT,Home_p,Away_p,URL
4490,NBA,2014/2015,111.0,123.0,0.0,0.0,1.29,4.35,https://www.oddsportal.com/basketball/usa/nba-2014-2015/indiana-pacers-brooklyn-nets-WMu2Zh4F/
4491,NBA,2014/2015,112.0,96.0,1.0,0.0,1.09,13.25,https://www.oddsportal.com/basketball/usa/nba-2014-2015/golden-state-warriors-new-orleans-pelicans-IJybzZl9/
4492,NBA,2014/2015,113.0,99.0,1.0,0.0,1.37,3.68,https://www.oddsportal.com/basketball/usa/nba-2014-2015/los-angeles-clippers-washington-wizards-OdxfyFZ2/
4493,NBA,2014/2015,101.0,91.0,1.0,0.0,2.85,1.52,https://www.oddsportal.com/basketball/usa/nba-2014-2015/sacramento-kings-charlotte-hornets-p6wjxeKd/
4494,NBA,2014/2015,101.0,112.0,0.0,0.0,1.73,2.45,https://www.oddsportal.com/basketball/usa/nba-2014-2015/dallas-mavericks-memphis-grizzlies-rooHT2Gd/
4495,NBA,2014/2015,101.0,89.0,1.0,0.0,1.24,4.95,https://www.oddsportal.com/basketball/usa/nba-2014-2015/san-antonio-spurs-boston-celtics-4fnDUr1j/
4496,NBA,2014/2015,108.0,92.0,1.0,0.0,1.9,2.13,https://www.oddsportal.com/basketball/usa/nba-2014-2015/chicago-bulls-toronto-raptors-YHhnEcjc/
4497,NBA,2014/2015,123.0,115.0,1.0,0.0,1.93,2.05,https://www.oddsportal.com/basketball/usa/nba-2014-2015/oklahoma-city-thunder-atlanta-hawks-AXn9VOop/
4498,NBA,2014/2015,129.0,127.0,1.0,1.0,1.8,2.24,https://www.oddsportal.com/basketball/usa/nba-2014-2015/brooklyn-nets-milwaukee-bucks-YBesz5wT/
4499,NBA,2014/2015,95.0,92.0,1.0,0.0,1.2,7.25,https://www.oddsportal.com/basketball/usa/nba-2014-2015/cleveland-cavaliers-indiana-pacers-jm6xyoOM/
4500,NBA,2014/2015,108.0,91.0,1.0,0.0,1.3,4.05,https://www.oddsportal.com/basketball/usa/nba-2014-2015/miami-heat-denver-nuggets-Cd7YyR8G/
4501,NBA,2014/2015,111.0,104.0,1.0,0.0,4.28,1.31,https://www.oddsportal.com/basketball/usa/nba-2014-2015/orlando-magic-portland-trail-blazers-rN2Ux7gA/
4502,NBA,2014/2015,97.0,81.0,1.0,0.0,1.47,3.15,https://www.oddsportal.com/basketball/usa/nba-2014-2015/philadelphia-76ers-new-york-knicks-4W3Qwmv4/
4503,NBA,2014/2015,73.0,80.0,0.0,0.0,2.72,1.57,https://www.oddsportal.com/basketball/usa/nba-2014-2015/los-angeles-lakers-utah-jazz-M7ELvTOc/
4504,NBA,2014/2015,74.0,72.0,1.0,0.0,1.77,2.4,https://www.oddsportal.com/basketball/usa/nba-2014-2015/phoenix-suns-new-orleans-pelicans-AXAHu99i/
4505,NBA,2014/2015,118.0,108.0,1.0,0.0,1.35,3.65,https://www.oddsportal.com/basketball/usa/nba-2014-2015/houston-rockets-denver-nuggets-dUMZGPWj/
4506,NBA,2014/2015,92.0,95.0,0.0,1.0,1.84,2.2,https://www.oddsportal.com/basketball/usa/nba-2014-2015/new-york-knicks-minnesota-timberwolves-IwOVH5Hp/
