,AH,AH_Home,AH_Away,OU,Over,Under,Home_name,Away_name,Date,URL
1377,Asian handicap +3.5 ,2.05,1.94,Over/Under +205 ,2.06,1.91,Utah Jazz,Los Angeles Clippers,"Tuesday, 14 Oct  2014, 04:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/utah-jazz-los-angeles-clippers-AZHjOEDH/
1378,Asian handicap -4.5 ,2.02,1.98,Over/Under +192.5 ,1.91,2.03,Chicago Bulls,Denver Nuggets,"Tuesday, 14 Oct  2014, 03:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/chicago-bulls-denver-nuggets-29ErQzq5/
1379,Asian handicap -3.5 ,1.99,1.98,Over/Under +214.5 ,1.91,2.08,Houston Rockets,Phoenix Suns,"Tuesday, 14 Oct  2014, 03:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/houston-rockets-phoenix-suns-GCInPfbB/
1380,Asian handicap -3 ,1.91,2.03,Over/Under +198 ,1.99,1.92,New York Knicks,Toronto Raptors,"Tuesday, 14 Oct  2014, 02:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/new-york-knicks-toronto-raptors-fZiv9cQ3/
1381,Asian handicap -4.5 ,2.0,1.94,Over/Under +194 ,1.95,2.04,Charlotte Hornets,Orlando Magic,"Tuesday, 14 Oct  2014, 02:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/charlotte-hornets-orlando-magic-KpPwRGTb/
1382,Asian handicap +3.5 ,1.96,2.02,Over/Under +208.5 ,2.0,1.94,Los Angeles Lakers,Golden State Warriors,"Monday, 13 Oct  2014, 04:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/los-angeles-lakers-golden-state-warriors-tfQZRdEh/
1383,Asian handicap -2.5 ,1.91,2.03,Over/Under +207.5 ,2.0,1.95,Portland Trail Blazers,Los Angeles Clippers,"Monday, 13 Oct  2014, 04:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/portland-trail-blazers-los-angeles-clippers-YTQVSxan/
1384,Asian handicap -2.5 ,2.02,1.94,Over/Under +198 ,1.91,2.02,Dallas Mavericks,Indiana Pacers,"Monday, 13 Oct  2014, 02:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/dallas-mavericks-indiana-pacers-fwSRTIqt/
1385,Asian handicap -3.5 ,1.96,1.97,Over/Under +195.5 ,1.95,2.08,Washington Wizards,Detroit Pistons,"Sunday, 12 Oct  2014, 20:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/washington-wizards-detroit-pistons-UF0L8ZDU/
1386,Asian handicap -1 ,2.01,1.94,Over/Under +197.5 ,2.08,1.91,Sacramento Kings,Brooklyn Nets,"Sunday, 12 Oct  2014, 08:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/sacramento-kings-brooklyn-nets-GCdH9FbO/
1387,Asian handicap +5.5 ,1.91,2.03,Over/Under +191.5 ,1.95,2.0,Milwaukee Bucks,Chicago Bulls,"Sunday, 12 Oct  2014, 03:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/milwaukee-bucks-chicago-bulls-MkcDAeqI/
1388,Asian handicap -3.5 ,1.98,1.93,Over/Under +194 ,2.02,1.96,Memphis Grizzlies,Atlanta Hawks,"Sunday, 12 Oct  2014, 03:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/memphis-grizzlies-atlanta-hawks-rab9ByUB/
1389,Asian handicap -3 ,1.94,2.01,Over/Under +191 ,2.04,1.93,Boston Celtics,New York Knicks,"Sunday, 12 Oct  2014, 02:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/boston-celtics-new-york-knicks-QN34CHE5/
1390,Asian handicap +5.5 ,1.91,2.03,Over/Under +201 ,1.94,2.03,Miami Heat,Cleveland Cavaliers,"Sunday, 12 Oct  2014, 00:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/miami-heat-cleveland-cavaliers-nX40Dcaa/
1391,Asian handicap -3 ,2.02,2.0,Over/Under +210.5 ,2.09,1.95,Phoenix Suns,Denver Nuggets,"Saturday, 11 Oct  2014, 05:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/phoenix-suns-denver-nuggets-hA5dEwpg/
1392,Asian handicap +3 ,2.02,1.92,Over/Under +209.5 ,2.04,1.95,Dallas Mavericks,Oklahoma City Thunder,"Saturday, 11 Oct  2014, 03:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/dallas-mavericks-oklahoma-city-thunder-tz2hFJUn/
1393,Asian handicap -4.5 ,1.97,1.96,Over/Under +206 ,2.04,1.94,Minnesota Timberwolves,Philadelphia 76ers,"Saturday, 11 Oct  2014, 03:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/minnesota-timberwolves-philadelphia-76ers-bBCmGaFt/
1394,Asian handicap -4 ,2.01,1.91,Over/Under +197 ,1.94,1.96,Toronto Raptors,Boston Celtics,"Saturday, 11 Oct  2014, 02:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/toronto-raptors-boston-celtics-CA2Z9wBc/
1395,Asian handicap +2.5 ,1.97,1.96,Over/Under +192.5 ,1.94,2.09,Charlotte Hornets,Washington Wizards,"Saturday, 11 Oct  2014, 02:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/charlotte-hornets-washington-wizards-8nXwddUO/
1396,Asian handicap -4.5 ,2.05,1.91,Over/Under +192 ,1.94,1.99,Indiana Pacers,Orlando Magic,"Saturday, 11 Oct  2014, 02:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/indiana-pacers-orlando-magic-d2QLKu7P/
1397,Asian handicap +4 ,1.98,1.96,Over/Under +206.5 ,2.04,1.93,Los Angeles Lakers,Golden State Warriors,"Friday, 10 Oct  2014, 05:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/los-angeles-lakers-golden-state-warriors-UeYZdxFI/
1398,Asian handicap -6 ,1.94,2.12,Over/Under +192 ,2.04,1.91,Portland Trail Blazers,Utah Jazz,"Friday, 10 Oct  2014, 05:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/portland-trail-blazers-utah-jazz-nXrVcIaC/
1399,Asian handicap -4 ,1.92,2.02,Over/Under +196 ,1.92,1.99,Houston Rockets,Memphis Grizzlies,"Friday, 10 Oct  2014, 03:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/houston-rockets-memphis-grizzlies-YTvRbbp6/
1400,Asian handicap -4 ,1.99,1.92,Over/Under +196.5 ,1.95,1.96,Detroit Pistons,Milwaukee Bucks,"Friday, 10 Oct  2014, 02:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/detroit-pistons-milwaukee-bucks-v7uNavVa/
1401,Asian handicap +1.5 ,2.08,1.99,Over/Under +199.5 ,1.99,1.97,Denver Nuggets,Oklahoma City Thunder,"Thursday, 09 Oct  2014, 04:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/denver-nuggets-oklahoma-city-thunder-0GtJ0KFg/
1402,Asian handicap +3.5 ,1.91,2.02,Over/Under +189.5 ,1.94,1.97,Milwaukee Bucks,Memphis Grizzlies,"Thursday, 09 Oct  2014, 03:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/milwaukee-bucks-memphis-grizzlies-YgAM100m/
1403,Asian handicap +1.5 ,2.03,1.98,Over/Under +192.5 ,1.95,1.95,Boston Celtics,New York Knicks,"Thursday, 09 Oct  2014, 02:30",https://www.oddsportal.com/basketball/usa/nba-2014-2015/boston-celtics-new-york-knicks-f3BI2tos/
1404,Asian handicap -2 ,1.96,2.0,Over/Under +194.5 ,1.99,2.06,New Orleans Pelicans,Washington Wizards,"Thursday, 09 Oct  2014, 02:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/new-orleans-pelicans-washington-wizards-OKKn82NJ/
1405,Asian handicap +3.5 ,1.98,2.02,Over/Under +195.5 ,2.03,1.91,Philadelphia 76ers,Charlotte Hornets,"Thursday, 09 Oct  2014, 02:00",https://www.oddsportal.com/basketball/usa/nba-2014-2015/philadelphia-76ers-charlotte-hornets-xOOj7MxQ/
